id,course_id,name,acronym,url,semester,year,schedule_url,last_updated,hash
559654,10861,Princípios e Paradigmas de Engenharia de Software,PPES,https://sigarra.up.pt/feup/pt/ucurr_geral.ficha_uc_view?pv_ocorrencia_id=559654,1,2025,,2026-05-22 08:46:45.864842,
559655,10861,Engenharia de Requisitos e Modelação de Software,ERMS,https://sigarra.up.pt/feup/pt/ucurr_geral.ficha_uc_view?pv_ocorrencia_id=559655,1,2025,,2026-05-22 08:47:58.723599,
559656,10861,Arquitetura e Desenho de Software,ADS,https://sigarra.up.pt/feup/pt/ucurr_geral.ficha_uc_view?pv_ocorrencia_id=559656,1,2025,,2026-05-22 08:48:04.023617,
559657,10861,"Teste, Verificação e Validação de Software",TVVS,https://sigarra.up.pt/feup/pt/ucurr_geral.ficha_uc_view?pv_ocorrencia_id=559657,1,2025,,2026-05-22 08:46:37.206636,
559658,10861,Laboratório de Engenharia de Software,LES,https://sigarra.up.pt/feup/pt/ucurr_geral.ficha_uc_view?pv_ocorrencia_id=559658,1,2025,,2026-05-22 08:47:55.414293,
559659,10861,"Gestão de Projetos, Inovação e Empreendedorismo",GPIE,https://sigarra.up.pt/feup/pt/ucurr_geral.ficha_uc_view?pv_ocorrencia_id=559659,2,2025,,2026-05-22 08:48:11.748002,
559660,10861,Segurança em Engenharia de Software,SES,https://sigarra.up.pt/feup/pt/ucurr_geral.ficha_uc_view?pv_ocorrencia_id=559660,2,2025,,2026-05-22 08:48:06.100102,
559661,10861,Compreensão e Evolução de Software,CES,https://sigarra.up.pt/feup/pt/ucurr_geral.ficha_uc_view?pv_ocorrencia_id=559661,2,2025,,2026-05-22 08:48:15.743570,
559662,10861,Análise de Dados e Engenharia de Software,ADES,https://sigarra.up.pt/feup/pt/ucurr_geral.ficha_uc_view?pv_ocorrencia_id=559662,2,2025,,2026-05-22 08:48:17.989004,
559663,10861,Computação Móvel,CM,https://sigarra.up.pt/feup/pt/ucurr_geral.ficha_uc_view?pv_ocorrencia_id=559663,2,2025,,2026-05-22 08:48:15.458897,
559664,10861,Gestão de Qualidade e Melhoria de Processos de Software,GQMPS,https://sigarra.up.pt/feup/pt/ucurr_geral.ficha_uc_view?pv_ocorrencia_id=559664,2,2025,,2026-05-22 08:48:09.536512,
559725,10861,Dissertação,D,https://sigarra.up.pt/feup/pt/ucurr_geral.ficha_uc_view?pv_ocorrencia_id=559725,1,2025,,2026-05-22 08:48:20.483899,
559726,10861,Seminários em Engenharia de Software,SES,https://sigarra.up.pt/feup/pt/ucurr_geral.ficha_uc_view?pv_ocorrencia_id=559726,1,2025,,2026-05-22 08:46:44.523442,
559727,10861,Computação Orientada a Serviços e Nuvem,COSN,https://sigarra.up.pt/feup/pt/ucurr_geral.ficha_uc_view?pv_ocorrencia_id=559727,1,2025,,2026-05-22 08:48:01.520055,
559728,10861,Interação Pessoa Computador,IPC,https://sigarra.up.pt/feup/pt/ucurr_geral.ficha_uc_view?pv_ocorrencia_id=559728,1,2025,,2026-05-22 08:47:55.963756,
